Ticker,AAPL,ADBE,AMZN,BAC,CRM,CSCO,DIS,GOOGL,HD,INTC,JNJ,JPM,KO,MA,META,MSFT,NFLX,NVDA,PEP,PG,TSLA,UNH,V,WMT,XOM
JNJ,-4.614962387192428e-06,-9.282106041212004e-06,-2.3633964823990533e-05,3.135096838231725e-05,-1.0577772148033786e-05,2.4422979784886237e-05,7.045953242260471e-06,-2.125206720652358e-05,2.358346843186486e-05,-2.824243788843772e-06,8.938977786165078e-05,2.746077028289574e-05,3.3006810121234665e-05,1.2464041198386734e-05,-3.255888760394174e-05,-9.443242652804277e-06,-3.0777552997838954e-05,-0.00010941413414045403,2.928570815895544e-05,2.6279100364681284e-05,-4.596664437090379e-05,3.152425457093844e-05,1.8087116338713584e-05,1.557879522961417e-05,1.716372328882017e-05
JPM,3.1912404837128795e-06,5.363911102767555e-05,6.302932991439433e-05,0.00015975245899126338,5.669872266869101e-05,6.296143958918212e-05,6.24133438999873e-05,3.730233739891967e-05,3.091577511223563e-05,0.00015557697712177123,2.746077028289574e-05,0.00022037581490244555,4.647624114247124e-06,5.717435822121377e-05,2.5264004469220845e-05,3.006763564384234e-05,2.9315402414242275e-05,4.23558649565234e-05,-3.7868745894332863e-06,-1.1134627805825872e-05,0.0001391212204220425,2.4245552747459433e-05,6.013583648135075e-05,1.4236900480184573e-05,5.4576493904926385e-05
KO,1.2660215336007207e-05,-5.500717825837981e-06,-1.2861117544028572e-05,8.892114114111668e-06,-9.988724350439742e-06,2.3527699887856353e-05,4.070258676561011e-06,-1.4973678725816334e-06,2.0489444017586343e-05,-1.2376853078890333e-05,3.3006810121234665e-05,4.647624114247124e-06,6.45530886442472e-05,1.631173587157909e-05,-9.916408217820374e-06,4.6190909659348776e-06,-1.9893404463976228e-05,-7.181224851306991e-05,4.5883212809519634e-05,3.5342132853235244e-05,-3.988184067118315e-05,2.356768880382441e-05,1.7065090273428083e-05,2.585061954577223e-05,1.5425322884233892e-05
MA,2.356639838248793e-05,5.240100035719188e-05,5.095096782415409e-05,4.107129773641874e-05,5.16378276183913e-05,3.7199736074231766e-05,2.8923901343335717e-05,4.039869172939187e-05,3.514334958173258e-05,6.091480334864689e-05,1.2464041198386734e-05,5.717435822121377e-05,1.631173587157909e-05,0.00010020734882600393,4.2872653796168956e-05,4.247168384345085e-05,4.13505139587767e-05,6.257312131680502e-05,1.1292176356859786e-05,1.3202843061823652e-05,9.445060931185797e-05,1.5943775300658613e-05,8.215353333365103e-05,1.821028607798012e-05,2.0990624336624755e-05
META,7.331486934890442e-05,0.0001358119776054193,0.00023611155258619049,2.999951065320631e-05,0.00013641810362835592,2.5637070865241466e-05,2.075578944770743e-05,0.0001580981397567871,2.97657125546369e-05,0.00012300297840974088,-3.255888760394174e-05,2.5264004469220845e-05,-9.916408217820374e-06,4.2872653796168956e-05,0.0005295695690038095,0.00016508975671602222,0.00013828829060256095,0.00029042360250328386,-1.4084367496496483e-05,-9.211038009858928e-06,0.00013769447564967058,-5.334953194860141e-05,4.189625412939101e-05,2.739190440441615e-05,-2.3248920950626446e-06
MSFT,8.355162355045438e-05,0.00012390131111471309,0.00015311580652898932,3.67217999563378e-05,0.00012282730578380932,4.3973559572311556e-05,2.8442134925856183e-05,0.0001273174973065121,3.5158673820949935e-05,0.00014153429113377346,-9.443242652804277e-06,3.006763564384234e-05,4.6190909659348776e-06,4.247168384345085e-05,0.00016508975671602222,0.00015827596564402214,9.708836390479274e-05,0.00019057968576229343,-3.195958348971041e-06,-5.488565957454026e-07,0.00015146932927612855,-2.4325403456283114e-05,4.0767162161927445e-05,2.4531811741942282e-05,-1.4798207531554295e-05
NFLX,7.509748439576589e-05,0.00013730116034671734,0.00013074950807037266,1.3863795325441558e-05,0.00012925587136268044,2.2297642287850676e-05,3.3894931064524515e-05,0.00010030221239296292,1.9250902665364785e-05,0.00015048610856966142,-3.0777552997838954e-05,2.9315402414242275e-05,-1.9893404463976228e-05,4.13505139587767e-05,0.00013828829060256095,9.708836390479274e-05,0.0003462581691902319,0.0002681879292911318,-2.5854235066812878e-05,-1.1607828744593509e-05,0.00016932334139557804,-3.111677065923727e-05,3.175967826364901e-05,1.4964028043116932e-05,1.7946007320890693e-05
NVDA,0.0001188757169967313,0.00021762725844351466,0.00025600757673774116,5.122582613614958e-06,0.00023515969175808593,5.024008873353253e-05,4.442525771301367e-05,0.0001834586252492916,7.34642388032107e-05,0.00032980514567063665,-0.00010941413414045403,4.23558649565234e-05,-7.181224851306991e-05,6.257312131680502e-05,0.00029042360250328386,0.00019057968576229343,0.0002681879292911318,0.0010954425639121603,-8.13480346781275e-05,-6.250488031404214e-05,0.00028332318964888046,-4.0714041807836974e-05,3.9225938124221106e-05,-1.8747625049080487e-06,-3.941436074641947e-05
PEP,9.93477108013692e-06,1.2223988979048882e-05,-2.411112877337359e-05,1.0598371778097673e-05,3.70904950636062e-06,1.839145510287563e-05,6.644968978353606e-06,-1.157354692142402e-05,1.6756710074955486e-05,-3.0896604870868227e-06,2.928570815895544e-05,-3.7868745894332863e-06,4.5883212809519634e-05,1.1292176356859786e-05,-1.4084367496496483e-05,-3.195958348971041e-06,-2.5854235066812878e-05,-8.13480346781275e-05,0.00010557851465575893,3.950076179947823e-05,-1.1058144635446608e-05,4.2031491667324615e-05,1.4719733371082769e-05,2.504735621647718e-05,2.143033453701361e-05
PG,-1.8064700151501789e-06,-1.4411822027222455e-05,-2.013620936648217e-05,5.327036619577713e-06,-1.2529785553029726e-05,5.927732439916025e-06,9.130023568224009e-07,-1.5238127969649125e-05,2.281835626293711e-05,-1.310395608559342e-06,2.6279100364681284e-05,-1.1134627805825872e-05,3.5342132853235244e-05,1.3202843061823652e-05,-9.211038009858928e-06,-5.488565957454026e-07,-1.1607828744593509e-05,-6.250488031404214e-05,3.950076179947823e-05,8.900222713127973e-05,-2.700553530214437e-05,1.710990707182057e-05,1.4744186648368558e-05,2.8320305156072086e-05,-1.6665966191452265e-06
TSLA,0.00018612636260784357,0.00013580823355996644,0.0002254235280339473,0.00012862610426849492,0.00019710280963752076,6.286448708029378e-05,9.098903994067538e-05,0.00017803760228020043,8.802223285195655e-05,0.0003731865420092072,-4.596664437090379e-05,0.0001391212204220425,-3.988184067118315e-05,9.445060931185797e-05,0.00013769447564967058,0.00015146932927612855,0.00016932334139557804,0.00028332318964888046,-1.1058144635446608e-05,-2.700553530214437e-05,0.0016076892399730799,-1.9035208156786755e-07,0.00011020429499584025,6.405909688893576e-05,-1.1008323660595565e-05
UNH,-1.0691204075737969e-05,2.1744376966759275e-05,-3.850342772602764e-05,3.443226441728342e-05,2.5972775339620128e-05,3.3960030431567334e-05,1.2785783738351975e-06,-1.8497840107366715e-05,2.9406676629983562e-05,-1.2059163512314612e-06,3.152425457093844e-05,2.4245552747459433e-05,2.356768880382441e-05,1.5943775300658613e-05,-5.334953194860141e-05,-2.4325403456283114e-05,-3.111677065923727e-05,-4.0714041807836974e-05,4.2031491667324615e-05,1.710990707182057e-05,-1.9035208156786755e-07,0.00029568554372296765,1.748723195933586e-05,2.9885374076049103e-07,2.120384337047333e-05
V,2.2064833355202558e-05,5.2470555742287093e-05,4.741633023787011e-05,4.5734500103517815e-05,3.880086300186722e-05,3.914198519175931e-05,2.5974517555007537e-05,4.6270217057525907e-05,2.890908851197859e-05,5.6881540999263765e-05,1.8087116338713584e-05,6.013583648135075e-05,1.7065090273428083e-05,8.215353333365103e-05,4.189625412939101e-05,4.0767162161927445e-05,3.175967826364901e-05,3.9225938124221106e-05,1.4719733371082769e-05,1.4744186648368558e-05,0.00011020429499584025,1.748723195933586e-05,0.00011385403148497962,1.9748042316439383e-05,2.1567159976228715e-05
WMT,1.1227321318241775e-05,2.7049645475321675e-05,4.150003047259755e-05,1.9048931950751926e-05,2.0843197567730334e-05,2.3602032584040814e-05,1.6973993435759408e-05,1.4044553863863537e-05,2.6224761637016434e-05,4.305742519618723e-05,1.557879522961417e-05,1.4236900480184573e-05,2.585061954577223e-05,1.821028607798012e-05,2.739190440441615e-05,2.4531811741942282e-05,1.4964028043116932e-05,-1.8747625049080487e-06,2.504735621647718e-05,2.8320305156072086e-05,6.405909688893576e-05,2.9885374076049103e-07,1.9748042316439383e-05,0.00012478024425756703,-2.590904054743662e-06
XOM,-2.3269222754370564e-06,-6.186384512001935e-06,-1.72362431894493e-05,4.939303127740113e-05,2.368209649746269e-05,2.939814262228044e-05,3.513131045613559e-05,-1.3092007363420708e-05,2.080875933391658e-05,2.848162735584127e-05,1.716372328882017e-05,5.4576493904926385e-05,1.5425322884233892e-05,2.0990624336624755e-05,-2.3248920950626446e-06,-1.4798207531554295e-05,1.7946007320890693e-05,-3.941436074641947e-05,2.143033453701361e-05,-1.6665966191452265e-06,-1.1008323660595565e-05,2.120384337047333e-05,2.1567159976228715e-05,-2.590904054743662e-06,0.00014480318464610208
